glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
🧆,falafel,炸豆丸子,chickpea | falafel | meatball,中东蔬菜球 | 油炸鹰嘴豆饼 | 炸豆丸子 | 肉丸 | 鹰嘴豆,CLDR release-46 annotations
🧇,waffle,华夫饼,breakfast | indecisive | iron | waffle,华夫饼 | 松饼 | 格子饼 | 点心 | 烤 | 甜点 | 窝夫饼,CLDR release-46 annotations
🧈,butter,黄油,butter | dairy,乳制品 | 牛奶 | 黄油,CLDR release-46 annotations
🧉,mate,马黛茶,drink | mate,茶 | 饮料 | 马黛茶,CLDR release-46 annotations
🧊,ice,冰块,cold | cube | ice | iceberg,冰 | 冰冷 | 冰块 | 冰山 | 冷 | 冷却 | 冷饮,CLDR release-46 annotations
🧋,bubble tea,珍珠奶茶,boba | bubble | food | milk | pearl | tea,奶茶 | 泡泡 | 牛奶 | 珍珠 | 珍珠奶茶 | 茶 | 茶饮 | 饮料,CLDR release-46 annotations
🧌,troll,穴居巨怪,fairy | fantasy | monster | tale | troll | trolling,幻想 | 怪兽 | 怪物 | 神话故事 | 穴居巨怪,CLDR release-46 annotations
🧍,person standing,站立者,person | stand | standing,人物 | 站着 | 站着的人 | 站立 | 站立者,CLDR release-46 annotations
🧎,person kneeling,下跪者,kneel | kneeling | knees | person,下跪 | 下跪者 | 跪下 | 跪坐,CLDR release-46 annotations
🧏,deaf person,失聪者,accessibility | deaf | ear | gesture | hear | person,听力 | 听力障碍 | 听障 | 失聪者 | 无障碍 | 耳朵 | 耳聋 | 聋,CLDR release-46 annotations
🧐,face with monocle,带单片眼镜的脸,classy | face | fancy | monocle | rich | stuffy | wealthy,单眼镜 | 古板 | 奢华 | 富有 | 带单片眼镜的脸 | 戴单眼镜的脸,CLDR release-46 annotations
🧑,person,成人,adult | person,中性 | 性别中立 | 性格不明 | 成人,CLDR release-46 annotations
🧒,child,儿童,bright-eyed | child | grandchild | kid | young | younger,中性 | 儿童 | 小孩 | 年轻人 | 性别不明 | 性别中立,CLDR release-46 annotations
🧓,older person,老年人,adult | elderly | grandparent | old | person | wise,中性 | 性别不明 | 性别中性 | 成人 | 熟龄 | 老人 | 老年人 | 老男人 | 老龄,CLDR release-46 annotations
🧔,person: beard,有胡子的人,beard | bearded | person | whiskers,人 | 大胡子 | 有胡子的人 | 男 | 络腮胡 | 胡子 | 胡须 | 腮帮子 | 连鬓胡子,CLDR release-46 annotations
🧕,woman with headscarf,带头饰的女人,bandana | head | headscarf | hijab | kerchief | mantilla | tichel | woman,头巾 | 希贾布 | 带头饰的女人 | 戴头巾的女人,CLDR release-46 annotations
🧖,person in steamy room,蒸房里的人,day | luxurious | pamper | person | relax | room | sauna | spa | steam | steambath | unwind,在桑拿间的人 | 放松 | 桑拿 | 桑拿浴 | 蒸房 | 蒸房里的人 | 蒸气漫溢 | 蒸汽浴,CLDR release-46 annotations
🧗,person climbing,攀爬的人,climb | climber | climbing | mountain | person | rock | scale | up,向上爬的人 | 攀岩 | 攀岩者 | 攀爬的人 | 爬山 | 登山 | 登山者,CLDR release-46 annotations
🧘,person in lotus position,盘腿的人,cross | legged | legs | lotus | meditation | peace | person | position | relax | serenity | yoga | yogi | zen,冥想 | 放松 | 沉思 | 瑜伽 | 盘腿的人 | 盘腿而坐 | 禅 | 莲花坐的人,CLDR release-46 annotations
🧙,mage,法师,fantasy | mage | magic | play | sorcerer | sorceress | sorcery | spell | summon | witch | wizard,召唤 | 女巫 | 女魔术师 | 巫师 | 智者 | 法师 | 法术 | 男巫 | 男魔术师 | 魔咒 | 魔术师,CLDR release-46 annotations
🧚,fairy,精灵,fairy | fairytale | fantasy | myth | person | pixie | tale | wings,仙女 | 仙子 | 童话 | 精灵 | 翅膀,CLDR release-46 annotations
🧛,vampire,吸血鬼,blood | Dracula | fangs | halloween | scary | supernatural | teeth | undead | vampire,万圣节 | 不死族 | 利牙 | 吸血鬼 | 恐怖 | 毒牙 | 装扮服装 | 超自然,CLDR release-46 annotations
🧜,merperson,人鱼,creature | fairytale | folklore | merperson | ocean | sea | siren | trident,三叉戟 | 人鱼 | 女人鱼 | 民间传说 | 海妖 | 海底 | 海洋生物 | 男人鱼 | 童话 | 美人鱼,CLDR release-46 annotations
🧝,elf,小精灵,elf | elves | enchantment | fantasy | folklore | magic | magical | myth,小精灵 | 神秘 | 精灵 | 魔幻 | 魔法,CLDR release-46 annotations
🧞,genie,妖怪,djinn | fantasy | genie | jinn | lamp | myth | rub | wishes,奇幻 | 妖怪 | 愿望 | 擦拭神灯 | 杰尼 | 灯神 | 神灵 | 神秘 | 神话 | 精灵 | 镇尼,CLDR release-46 annotations
🧟,zombie,僵尸,apocalypse | dead | halloween | horror | scary | undead | walking | zombie,万圣节 | 不死族 | 僵尸 | 半死不活 | 吓人 | 行尸走肉,CLDR release-46 annotations
🧠,brain,脑,brain | intelligent | smart,大脑 | 头脑 | 智慧 | 智能 | 聪明 | 脑,CLDR release-46 annotations
🧡,orange heart,橙心,143 | heart | orange,橘心 | 橘色 | 橘色的心 | 橙 | 橙心,CLDR release-46 annotations
🧢,billed cap,鸭舌帽,baseball | bent | billed | cap | dad | hat,帽子 | 棒球帽 | 鸭舌帽,CLDR release-46 annotations
🧣,scarf,围巾,bundle | cold | neck | scarf | up,冷 | 包紧 | 围巾 | 围脖 | 头巾,CLDR release-46 annotations
🧤,gloves,手套,gloves | hand,手 | 手套,CLDR release-46 annotations
🧥,coat,外套,brr | bundle | coat | cold | jacket | up,冷 | 外套 | 夹克 | 超冷,CLDR release-46 annotations
🧦,socks,袜子,socks | stocking,短袜 | 袜 | 袜子 | 长袜,CLDR release-46 annotations
🧧,red envelope,红包,envelope | gift | good | hóngbāo | lai | luck | money | red | see,利事 | 利是 | 好运 | 礼物 | 红信封 | 红包 | 运气 | 钱,CLDR release-46 annotations
🧨,firecracker,爆竹,dynamite | explosive | fire | firecracker | fireworks | light | pop | popping | spark,光亮 | 火花 | 炸药 | 烟火 | 烟花 | 爆炸 | 爆竹 | 鞭炮,CLDR release-46 annotations
🧩,puzzle piece,拼图,clue | interlocking | jigsaw | piece | puzzle,图片 | 拼图 | 智力游戏 | 相扣 | 线索 | 联锁 | 部件,CLDR release-46 annotations
🧪,test tube,试管,chemist | chemistry | experiment | lab | science | test | tube,化学 | 化学家 | 实验 | 实验室 | 科学 | 试管,CLDR release-46 annotations
🧫,petri dish,培养皿,bacteria | biologist | biology | culture | dish | lab | petri,培养 | 培养皿 | 实验室 | 生物学 | 生物学家 | 细菌,CLDR release-46 annotations
🧬,dna,DNA,biologist | dna | evolution | gene | genetics | life,DNA | 基因 | 演化 | 生命 | 生物学家 | 进化 | 遗传学,CLDR release-46 annotations
🧭,compass,指南针,compass | direction | magnetic | navigation | orienteering,定向 | 导航 | 指南针 | 方向 | 磁性 | 罗盘,CLDR release-46 annotations
🧮,abacus,算盘,abacus | calculation | calculator,算盘 | 计算 | 计算器,CLDR release-46 annotations
🧯,fire extinguisher,灭火器,extinguish | extinguisher | fire | quench,压制 | 火灾 | 灭火 | 灭火器 | 熄灭,CLDR release-46 annotations
🧰,toolbox,工具箱,box | chest | mechanic | red | tool | toolbox,大箱子 | 工具 | 工具箱 | 机修 | 箱子 | 红盒子,CLDR release-46 annotations
🧱,brick,砖,brick | bricks | clay | mortar | wall,墙 | 砂浆 | 砖 | 黏土,CLDR release-46 annotations
🧲,magnet,磁铁,attraction | horseshoe | magnet | magnetic | negative | positive | shape | u,U 型 | 吸引 | 吸引力 | 正负 | 磁性 | 磁铁 | 马蹄铁,CLDR release-46 annotations
🧳,luggage,行李箱,bag | luggage | packing | roller | suitcase | travel,包装 | 手提箱 | 旅行 | 滚轮提箱 | 行李 | 行李箱,CLDR release-46 annotations
🧴,lotion bottle,乳液瓶,bottle | lotion | moisturizer | shampoo | sunscreen,乳液 | 乳液瓶 | 保湿乳液 | 护肤霜 | 洗剂瓶 | 洗发水 | 洗发露 | 防嗮霜 | 防晒霜,CLDR release-46 annotations
🧵,thread,线,needle | sewing | spool | string | thread,卷盘 | 线 | 线轴 | 绳子 | 缝纫 | 针 | 针线,CLDR release-46 annotations
🧶,yarn,毛线,ball | crochet | knit | yarn,毛线 | 毛线球 | 线球 | 编织 | 钩针编织,CLDR release-46 annotations
🧷,safety pin,安全别针,diaper | pin | punk | rock | safety,别针 | 安全别针 | 扣针,CLDR release-46 annotations
🧸,teddy bear,泰迪熊,bear | plaything | plush | stuffed | teddy | toy,填充 | 毛绒玩具 | 泰迪熊 | 熊 | 玩偶 | 玩具 | 玩物 | 长毛绒,CLDR release-46 annotations
🧹,broom,扫帚,broom | cleaning | sweeping | witch,女巫 | 巫婆 | 打扫 | 扫地 | 扫帚 | 清洁,CLDR release-46 annotations
🧺,basket,筐,basket | farming | laundry | picnic,农作 | 洗衣 | 种植 | 筐 | 篮子 | 脏衣篮 | 野餐,CLDR release-46 annotations
🧻,roll of paper,卷纸,paper | roll | toilet | towels,卫生纸 | 卷纸 | 手纸 | 纸卷 | 纸巾,CLDR release-46 annotations
🧼,soap,皂,bar | bathing | clean | cleaning | lather | soap | soapdish,杀菌 | 泡沫 | 洗手 | 洗澡 | 清洁 | 皂 | 肥皂 | 肥皂泡 | 肥皂盒 | 肥皂盘,CLDR release-46 annotations
🧽,sponge,海绵,absorbing | cleaning | porous | soak | sponge,吸收 | 吸水 | 多孔 | 海绵 | 浸泡 | 清洁 | 渗透,CLDR release-46 annotations
🧾,receipt,收据,accounting | bookkeeping | evidence | invoice | proof | receipt,会计 | 信封 | 凭据 | 发票 | 收据 | 收条 | 簿记 | 记账 | 证据 | 证明 | 账单,CLDR release-46 annotations
🧿,nazar amulet,纳扎尔护身符,amulet | bead | blue | charm | evil-eye | nazar | talisman,小装饰品 | 恶魔之眼 | 护身符 | 珠子 | 符咒 | 纳扎尔 | 纳扎尔护身符 | 蓝色 | 邪眼,CLDR release-46 annotations
🩰,ballet shoes,芭蕾舞鞋,ballet | dance | shoes,舞蹈 | 舞鞋 | 芭蕾舞鞋 | 足尖鞋 | 跳舞,CLDR release-46 annotations
🩱,one-piece swimsuit,连体泳衣,bathing | one-piece | suit | swimsuit,一片式 | 泳衣 | 泳装 | 游泳 | 连体泳衣 | 连身泳衣,CLDR release-46 annotations
🩲,briefs,三角裤,bathing | briefs | one-piece | suit | swimsuit | underwear,一片式 | 三角裤 | 内裤 | 泳衣 | 泳装 | 短裤,CLDR release-46 annotations
🩳,shorts,短裤,bathing | pants | shorts | suit | swimsuit | underwear,内裤 | 四角裤 | 泳衣 | 泳装 | 泳裤 | 短裤 | 裤子,CLDR release-46 annotations
🩴,thong sandal,夹趾凉鞋,beach | flip | flop | sandal | sandals | shoe | thong | thongs | zōri,人字拖 | 凉鞋 | 夹趾凉鞋 | 沙滩 | 沙滩凉鞋 | 草屡 | 鞋,CLDR release-46 annotations
🩵,light blue heart,浅蓝色的心,143 | blue | cute | cyan | emotion | heart | ily | light | like | love | sky | special | teal,可爱 | 喜欢 | 天蓝 | 心 | 感情 | 我爱你 | 浅蓝 | 浅蓝色的心 | 爱 | 特殊 | 蓝绿 | 蓝绿色 | 青色,CLDR release-46 annotations
🩶,grey heart,灰心,143 | emotion | gray | grey | heart | ily | love | silver | slate | special,心 | 感情 | 我爱你 | 暗灰 | 灰 | 灰心 | 灰色 | 爱 | 特殊 | 银 | 银色,CLDR release-46 annotations
🩷,pink heart,粉红色的心,143 | adorable | cute | emotion | heart | ily | like | love | pink | special | sweet,可爱 | 喜欢 | 心 | 感情 | 我爱你 | 爱 | 特殊 | 甜蜜 | 粉红 | 粉红色的心 | 讨人喜欢,CLDR release-46 annotations
🩸,drop of blood,血滴,bleed | blood | donation | drop | injury | medicine | menstruation,医疗 | 月经 | 流血 | 献血 | 经血 | 血滴 | 输血,CLDR release-46 annotations
🩹,adhesive bandage,创可贴,adhesive | bandage,OK绷 | 伤口 | 创可贴 | 受伤 | 绷带 | 胶布,CLDR release-46 annotations
🩺,stethoscope,听诊器,doctor | heart | medicine | stethoscope,医生 | 医疗 | 听诊器 | 心脏 | 心跳 | 诊断,CLDR release-46 annotations
🩻,x-ray,X射线,bones | doctor | medical | skeleton | skull | x-ray | xray,X 射线 | X射线 | 医生 | 医疗 | 骨架 | 骨骼,CLDR release-46 annotations
🩼,crutch,拐杖,aid | cane | crutch | disability | help | hurt | injured | mobility | stick,受伤 | 手杖 | 拐杖 | 残疾 | 活动助行类辅具 | 辅助,CLDR release-46 annotations
🪀,yo-yo,悠悠球,fluctuate | toy | yo-yo,上下起落 | 悠悠球 | 溜溜球 | 犹豫不决 | 玩具,CLDR release-46 annotations
🪁,kite,风筝,fly | kite | soar,翱翔 | 风筝 | 飞翔,CLDR release-46 annotations
🪂,parachute,降落伞,hang-glide | parachute | parasail | skydive,帆伞 | 悬挂滑翔 | 滑翔 | 滑翔伞 | 跳伞 | 降落伞,CLDR release-46 annotations
🪃,boomerang,回旋镖,boomerang | rebound | repercussion | weapon,反弹 | 回弹 | 回旋镖 | 土著 | 武器 | 飞镖,CLDR release-46 annotations
🪄,magic wand,魔棒,magic | magician | wand | witch | wizard,女巫 | 巫师 | 魔术 | 魔术师 | 魔杖 | 魔棒 | 魔法,CLDR release-46 annotations
🪅,piñata,彩罐,candy | celebrate | celebration | cinco | de | festive | mayo | party | pinada | pinata | piñata,五月节 | 庆祝 | 彩罐 | 皮纳塔 | 糖果 | 聚会 | 节日 | 墨西哥,CLDR release-46 annotations
🪆,nesting dolls,套娃,babooshka | baboushka | babushka | doll | dolls | matryoshka | nesting | russia,俄罗斯套娃 | 俄罗斯娃娃 | 套娃 | 娃娃,CLDR release-46 annotations
🪇,maracas,沙球,cha | dance | instrument | maracas | music | party | percussion | rattle | shake | shaker,乐器 | 恰恰 | 打击乐器 | 拨浪鼓 | 摇 | 摇动 | 沙槌 | 沙球 | 沙铃 | 派对 | 舞蹈 | 音乐,CLDR release-46 annotations
🪈,flute,长笛,band | fife | flautist | flute | instrument | marching | music | orchestra | piccolo | pipe | recorder | woodwind,乐器 | 乐队 | 木管乐器 | 横笛 | 短笛 | 竖笛 | 管乐器 | 菲菲笛 | 长笛 | 长笛手 | 音乐,CLDR release-46 annotations
🪉,harp,竖琴,cupid | harp | instrument | love | music | orchestra,丘比特 | 乐器 | 爱 | 竖琴 | 管弦乐队 | 音乐,CLDR release-46 annotations
🪏,shovel,铲,bury | dig | garden | hole | plant | scoop | shovel | snow | spade,埋 | 挖 | 掘 | 洞 | 种植 | 花园 | 铲 | 锹 | 雪,CLDR release-46 annotations
🪐,ringed planet,有环行星,planet | ringed | saturn | saturnine,土星 | 有环行星 | 行星,CLDR release-46 annotations
🪑,chair,椅子,chair | seat | sit,坐 | 坐下 | 座位 | 椅子 | 椅背,CLDR release-46 annotations
🪒,razor,剃须刀,razor | sharp | shave,刀 | 刮 | 刮刀 | 剃刀 | 剃须刀 | 毛 | 胡子 | 锋利,CLDR release-46 annotations
🪓,axe,斧头,ax | axe | chop | hatchet | split | wood,切 | 劈 | 斧头 | 木头 | 砍,CLDR release-46 annotations
🪔,diya lamp,印度油灯,diya | lamp | light | oil,印度油灯 | 排灯节 | 油 | 灯 | 迪亚,CLDR release-46 annotations
🪕,banjo,班卓琴,banjo | music | stringed,弦乐器 | 弹奏 | 班卓琴 | 音乐,CLDR release-46 annotations
🪖,military helmet,军用头盔,army | helmet | military | soldier | war | warrior,军事 | 军用 | 军用头盔 | 军队 | 士兵 | 头盔 | 战争 | 战士 | 部队,CLDR release-46 annotations
🪗,accordion,手风琴,accordion | box | concertina | instrument | music | squeeze | squeezebox,乐器 | 六角形风琴 | 手风琴 | 音乐 | 风琴,CLDR release-46 annotations
🪘,long drum,长鼓,beat | conga | drum | instrument | long | rhythm,乐器 | 康加鼓 | 康茄鼓 | 敲 | 节奏 | 长鼓 | 非洲手鼓 | 鼓,CLDR release-46 annotations
🪙,coin,硬币,coin | dollar | euro | gold | metal | money | rich | silver | treasure,富有 | 欧元 | 硬币 | 美元 | 财富 | 金 | 金属 | 金币 | 钱 | 银,CLDR release-46 annotations
🪚,carpentry saw,木工锯,carpenter | carpentry | cut | lumber | saw | tool | trim,修剪 | 工具 | 木匠 | 木工锯 | 木材 | 锯 | 锯子,CLDR release-46 annotations
🪛,screwdriver,螺丝刀,flathead | handy | screw | screwdriver | tool,工具 | 螺丝 | 螺丝刀,CLDR release-46 annotations
🪜,ladder,梯子,climb | ladder | rung | step,台阶 | 梯子 | 梯级 | 横档 | 爬 | 爬梯 | 阶梯,CLDR release-46 annotations
🪝,hook,挂钩,catch | crook | curve | ensnare | hook | point | selling,卖点 | 弯钩 | 抓 | 挂钩 | 曲线 | 钩子 | 钩状物 | 鱼钩,CLDR release-46 annotations
🪞,mirror,镜子,makeup | mirror | reflection | reflector | speculum,化妆 | 反射 | 反射镜 | 窥镜 | 镜子,CLDR release-46 annotations
🪟,window,窗户,air | frame | fresh | opening | transparent | view | window,开窗 | 新鲜空气 | 景色 | 窗口 | 窗户 | 窗框 | 透明,CLDR release-46 annotations
🪠,plunger,活塞,cup | force | plumber | plunger | poop | suction | toilet,便便 | 吸力 | 搋子 | 水管工 | 活塞 | 通厕所 | 马桶,CLDR release-46 annotations
🪡,sewing needle,缝合针,embroidery | needle | sew | sewing | stitches | sutures | tailoring | thread,线 | 绣花针 | 缝合 | 缝合针 | 缝纫 | 缝线 | 缝衣针 | 裁剪 | 针,CLDR release-46 annotations
🪢,knot,结,cord | knot | rope | tangled | tie | twine | twist,八字结 | 打结 | 结 | 绳子 | 绳扣 | 绳结 | 缠结 | 麻线,CLDR release-46 annotations
🪣,bucket,桶,bucket | cask | pail | vat,大桶 | 木桶 | 桶 | 水桶 | 缸,CLDR release-46 annotations
🪤,mouse trap,捕鼠器,bait | cheese | lure | mouse | mousetrap | snare | trap,奶酪 | 捕鼠器 | 老鼠夹 | 诱饵 | 陷进 | 陷阱,CLDR release-46 annotations
🪥,toothbrush,牙刷,bathroom | brush | clean | dental | hygiene | teeth | toiletry | toothbrush,刷 | 刷子 | 卫生 | 情节 | 洗漱 | 浴室 | 清洁 | 牙刷 | 牙科 | 牙齿,CLDR release-46 annotations
🪦,headstone,墓碑,cemetery | dead | grave | graveyard | headstone | memorial | rip | tomb | tombstone,公墓 | 坟墓 | 墓园 | 墓地 | 墓碑 | 安息 | 死亡 | 纪念,CLDR release-46 annotations
🪧,placard,标语牌,card | demonstration | notice | picket | placard | plaque | protest | sign,告示 | 布告 | 标志 | 标牌 | 标语 | 标语牌 | 海报 | 示威 | 纠察队标语牌 | 警戒哨,CLDR release-46 annotations
🪨,rock,岩石,boulder | heavy | rock | solid | stone | tough,固体 | 坚不可摧 | 岩石 | 巨石 | 石头,CLDR release-46 annotations
🪩,mirror ball,镜球,ball | dance | disco | glitter | mirror | party,派对 | 聚会 | 舞会 | 舞厅 | 舞蹈 | 蹦迪 | 迪斯科 | 镜球 | 闪耀,CLDR release-46 annotations
🪪,identification card,身份证,card | credentials | document | ID | identification | license | security,ID | 凭证 | 安全 | 执照 | 证件 | 身份证,CLDR release-46 annotations
🪫,low battery,电池电量不足,battery | drained | electronic | energy | low | power,低能量 | 电子 | 电池 | 电池电量不足 | 电池电量低 | 电量不足,CLDR release-46 annotations
🪬,hamsa,法蒂玛之手,amulet | Fatima | fortune | guide | hamsa | hand | Mary | Miriam | palm | protect | protection,保护 | 好运 | 手 | 手掌 | 护身符 | 法蒂玛 | 法蒂玛之手 | 玛丽 | 米里亚姆,CLDR release-46 annotations
🪭,folding hand fan,折扇,clack | clap | cool | cooling | dance | fan | flirt | flutter | folding | hand | hot | shy,凉 | 凉快 | 啪嗒声 | 害羞 | 扇 | 扇动 | 扇子 | 折扇 | 拍手 | 热 | 羞涩 | 腼腆 | 舞蹈 | 调情 | 跳舞 | 降温,CLDR release-46 annotations
🪮,hair pick,发夹,Afro | comb | groom | hair | pick,发夹 | 圆蓬 | 头发 | 夹子 | 小刷子 | 梳子 | 梳理 | 爆炸头 | 非洲头,CLDR release-46 annotations
🪯,khanda,坎达,Deg | Fateh | Khalsa | Khanda | religion | Sikh | Sikhism | Tegh,信仰 | 卡尔萨 | 善业与佩剑得胜 | 坎达 | 坎达长剑 | 宗教 | 锡克 | 锡克教 | 锡克教徒,CLDR release-46 annotations
🪰,fly,苍蝇,animal | disease | fly | insect | maggot | pest | rotting,动物 | 害虫 | 疾病 | 腐烂 | 苍蝇 | 虫子 | 蛆,CLDR release-46 annotations
🪱,worm,蠕虫,animal | annelid | earthworm | parasite | worm,动物 | 寄生虫 | 环节动物 | 蚯蚓 | 蠕虫,CLDR release-46 annotations
🪲,beetle,甲虫,animal | beetle | bug | insect,动物 | 昆虫 | 甲虫 | 虫子,CLDR release-46 annotations
🪳,cockroach,蟑螂,animal | cockroach | insect | pest | roach,动物 | 害虫 | 小强 | 昆虫 | 虫子 | 蟑螂,CLDR release-46 annotations
🪴,potted plant,盆栽植物,decor | grow | house | nurturing | plant | pot | potted,培育 | 房子 | 枯燥 | 植物 | 生长 | 盆景 | 盆栽 | 盆栽植物 | 花盆,CLDR release-46 annotations
🪵,wood,木头,log | lumber | timber | wood,原木 | 圆木 | 木头 | 木材 | 木桩,CLDR release-46 annotations
🪶,feather,羽毛,bird | feather | flight | light | plumage,羽毛 | 轻 | 飞 | 鸟,CLDR release-46 annotations
🪷,lotus,莲花,beauty | Buddhism | calm | flower | Hinduism | lotus | peace | purity | serenity,佛教 | 印度教 | 幽静 | 恬静 | 纯洁 | 花 | 花朵 | 莲花,CLDR release-46 annotations
🪸,coral,珊瑚,change | climate | coral | ocean | reef | sea,气候变化 | 海洋 | 珊瑚 | 珊瑚礁 | 礁,CLDR release-46 annotations
🪹,empty nest,空巢,branch | empty | home | nest | nesting,家 | 树枝 | 空巢 | 筑巢 | 鸟巢,CLDR release-46 annotations
🪺,nest with eggs,有蛋的巢,bird | branch | egg | eggs | nest | nesting,有蛋的巢 | 树枝 | 筑巢 | 蛋 | 鸟 | 鸟巢 | 鸟蛋,CLDR release-46 annotations
🪻,hyacinth,风信子,bloom | bluebonnet | flower | hyacinth | indigo | lavender | lilac | lupine | plant | purple | shrub | snapdragon | spring | violet,春天 | 植物 | 灌木 | 矢车菊 | 紫丁香 | 紫罗兰 | 紫色 | 羽扇豆 | 花 | 花朵 | 蓝帽花 | 薰衣草 | 金鱼草 | 靛蓝 | 风信子,CLDR release-46 annotations
🪼,jellyfish,水母,animal | aquarium | burn | invertebrate | jelly | jellyfish | life | marine | ocean | ouch | plankton | sea | sting | stinger | tentacles,刺毛 | 动物 | 发光 | 哎哟 | 无脊椎动物 | 有刺动物 | 果冻 | 水族馆 | 水母 | 浮游生物 | 海洋 | 海洋生物 | 海蜇 | 触手,CLDR release-46 annotations
🪽,wing,翅膀,angelic | ascend | aviation | bird | fly | flying | heavenly | mythology | soar | wing,升天 | 天使 | 天使的 | 天堂的 | 神话 | 翅膀 | 翱翔 | 飞翔 | 飞行 | 鸟,CLDR release-46 annotations
🪾,leafless tree,无叶树,bare | barren | branches | dead | drought | leafless | tree | trunk | winter | wood,冬天 | 冬季 | 干旱 | 无叶 | 木 | 树 | 树干 | 树枝 | 死 | 秃 | 荒芜,CLDR release-46 annotations
🪿,goose,鹅,animal | bird | duck | flock | fowl | gaggle | gander | geese | goose | honk | ornithology | silly,傻 | 傻瓜 | 动物 | 嘎嘎叫声 | 家禽 | 雄鹅 | 鸟 | 鸣叫 | 鸭子 | 鸭群 | 鹅 | 鹅群,CLDR release-46 annotations
🫀,anatomical heart,心脏器官,anatomical | beat | cardiology | heart | heartbeat | organ | pulse | real | red,中心 | 器官 | 心率 | 心脏 | 心脏器官 | 心脏病学 | 心跳 | 真心 | 红心 | 解剖 | 身体,CLDR release-46 annotations
🫁,lungs,肺,breath | breathe | exhalation | inhalation | lung | lungs | organ | respiration,吸气 | 呼吸 | 呼吸作用 | 呼气 | 器官 | 肺 | 肺部 | 身体,CLDR release-46 annotations
🫂,people hugging,人的拥抱,comfort | embrace | farewell | friendship | goodbye | hello | hug | hugging | love | people | thanks,人的拥抱 | 再见 | 友谊 | 告别 | 安慰 | 您好 | 感谢 | 抱抱 | 拥抱 | 爱,CLDR release-46 annotations
🫃,pregnant man,怀孕的男人,belly | bloated | full | man | overeat | pregnant,充满 | 吃撑 | 怀孕 | 怀孕的男人 | 男子 | 腹部 | 臃肿,CLDR release-46 annotations
🫄,pregnant person,怀孕的人,belly | bloated | full | overeat | person | pregnant | stuffed,充满 | 吃撑 | 怀孕 | 怀孕的人 | 腹部 | 臃肿,CLDR release-46 annotations
🫅,person with crown,戴王冠的人,crown | monarch | noble | person | regal | royal | royalty,君主 | 君威 | 国王 | 戴王冠的人 | 王冠 | 王后 | 王室 | 皇室 | 贵族,CLDR release-46 annotations
🫆,fingerprint,指纹,clue | crime | detective | fingerprint | forensics | identity | mystery | print | safety | trace,侦探 | 印迹 | 安全 | 指纹 | 犯罪 | 痕迹 | 神秘 | 线索 | 身份 | 鉴证,CLDR release-46 annotations
🫎,moose,驼鹿,alces | animal | antlers | elk | mammal | moose,动物 | 哺乳动物 | 驼鹿 | 鹿角 | 麋鹿,CLDR release-46 annotations
🫏,donkey,驴,animal | ass | burro | donkey | hinny | mammal | mule | stubborn,倔强 | 动物 | 哺乳动物 | 固执的 | 犟 | 驴 | 驴子 | 骡 | 骡子,CLDR release-46 annotations
🫐,blueberries,蓝莓,berries | berry | bilberry | blue | blueberries | blueberry | food | fruit,水果 | 浆果 | 蓝莓 | 越桔 | 食物,CLDR release-46 annotations
🫑,bell pepper,灯笼椒,bell | capsicum | food | pepper | vegetable,灯笼椒 | 蔬菜 | 辣椒 | 青椒 | 食物,CLDR release-46 annotations
🫒,olive,橄榄,food | olive,橄榄 | 食物,CLDR release-46 annotations
🫓,flatbread,扁面包,arepa | bread | flatbread | food | gordita | lavash | naan | pita,圆盘状烤饼 | 扁面包 | 玉米饼 | 皮塔饼 | 薄脆饼 | 面包 | 面饼 | 食物,CLDR release-46 annotations
🫔,tamale,墨西哥粽子,food | mexican | pamonha | tamale | wrapped,巴西粽 | 粽子 | 食物 | 墨西哥 | 墨西哥粽子 | 墨西哥饼,CLDR release-46 annotations
🫕,fondue,奶酪火锅,cheese | chocolate | fondue | food | melted | pot | ski,奶酪 | 奶酪火锅 | 奶酪锅 | 巧克力 | 火锅 | 煮 | 煲汤 | 瑞士 | 融化 | 锅 | 食物,CLDR release-46 annotations
🫖,teapot,茶壶,brew | drink | food | pot | tea | teapot,冲泡 | 壶 | 茶 | 茶壶 | 食物,CLDR release-46 annotations
🫗,pouring liquid,倾倒液体,accident | drink | empty | glass | liquid | oops | pour | pouring | spill | water,倒出 | 倾倒 | 倾倒液体 | 洒出 | 流出 | 玻璃杯 | 碰倒 | 空 | 饮料,CLDR release-46 annotations
🫘,beans,豆,beans | food | kidney | legume | small,肾 | 豆 | 豆子 | 豆类 | 食物,CLDR release-46 annotations
🫙,jar,罐,condiment | container | empty | jar | nothing | sauce | store,容器 | 瓶子 | 空 | 空瓶 | 罐 | 调味品 | 贮藏 | 酱,CLDR release-46 annotations
🫚,ginger root,姜,beer | ginger | health | herb | natural | root | spice,健康 | 啤酒 | 天然 | 姜 | 根 | 根汁啤酒 | 根茎 | 草药 | 香料,CLDR release-46 annotations
🫛,pea pod,豌豆荚,beans | beanstalk | edamame | legume | pea | pod | soybean | vegetable | veggie,大豆 | 毛豆 | 素食者 | 荚 | 蔬菜 | 豆 | 豆类 | 豆茎 | 豆荚 | 豌豆 | 豌豆荚 | 黄豆,CLDR release-46 annotations
